,Name,Rating,Flickable
0,Zoolander 2,7.0,Yes
1,Dope,8.5,Yes
2,The Big Short,8.0,Yes
3,Deadpool,10.0,Yes
5,The Martian,8.0,Yes
7,Hardcore Henry,7.5,Yes
11,San Andreas,4.0,No
15,Terminator,10.0,No
27,Captain America: Civil War,8.0,Yes
36,All the Way,9.5,Yes
43,The Man from U.N.C.L.E.,7.5,Yes
51,Chef,9.0,Yes
53,Independence Day: Resurgence,3.0,Yes
73,Suicide Squad,4.0,Yes
77,Steve Jobs,7.5,Yes
82,Tickled,8.0,Yes
90,Arrival,8.5,Yes
91,The Jungle Book,9.5,Yes
92,Why Him,8.0,Yes
93,Office Christmas Party,7.0,Yes
94,Assassin's Creed,1.5,No
95,Sing,6.0,Yes
99,Hell or High Water,7.0,Yes
103,Logan,9.0,Yes
112,Alien: Covenant,8.0,Yes
120,Spider-Man: Homecoming,7.0,Yes
123,The Belko Experiment,7.0,Yes
124,"Guardians of the Galaxy, Vol. 2",4.5,No
125,Get Out,9.5,Yes
126,Don't Breathe,8.0,Yes
127,Hannah,8.5,Yes
128,Dunkirk,8.5,Yes
129,Fantastic Beasts and Where to Find Them,7.0,Yes
130,Life,3.0,No
133,Imperium,7.0,Yes
134,Death Note,0.5,No
135,Little Evil,7.0,Yes
136,Gerald's Game,7.5,Yes
137,The Meyerowitz Stories,6.0,No
147,The Mist,7.0,Yes
149,Swingers,7.0,Yes
151,Schindler's List,8.0,Yes
154,The Darkest Hour,7.5,Yes
155,Three Billboards Outside Ebbing Missouri,6.5,No
156,Ladybird,5.0,Yes
157,Futile and Stupid Gesture,7.5,Yes
160,The Cloverfield Paradox,2.0,No
161,Black Panther,7.5,Yes
164,Ready Player One,7.5,Yes
165,A Quiet Place,9.0,Yes
166,Avengers: Infinity War,8.0,Yes
172,The Disaster Artist,9.5,Yes
175,Annihilation,3.0,No
176,Sicario Day of the Soldado ,5.0,Yes
177,Mission Impossible: Fallout,9.0,Yes
178,It Comes at Night,8.5,Yes
179,Hush,7.0,Yes
180,The Conjuring 2,6.5,Yes
181,Annabelle Creation,7.5,Yes
182,The Witch,8.0,Yes
183,The Ritual,6.0,No
184,Unbreakable,9.0,Yes
185,Patient Zero,5.0,No
186,Deadpool 2,8.0,Yes
187,Raw,6.0,No
188,Littlest Reich,6.5,Yes
189,Jigsaw,2.0,No
190,The Endless,5.0,No
191,Happy Death Day,7.5,Yes
192,Hereditary,9.5,Yes
193,Isle of Dogs,8.0,Yes
194,The Shape of Water,7.5,Yes
195,Hold the Dark,5.0,Yes
196,A Star is Born,9.0,Yes
198,You Were Never Really Here,5.0,No
199,Outlaw King,7.5,Yes
202,The Christmas Chronicles,8.0,Yes
203,Bohemian Rhapsody,8.0,Yes
204,Bandersnatch,9.6,Yes
205,Bird Box,7.5,Yes
206,Polar,5.2,Yes
208,Alita Battle Angel,8.6,Yes
214,Triple Frontier,4.7,No
215,The Dirt,6.9,Yes
216,The Highwaymen,3.0,No
217,The Silence,0.9,No
218,Avengers: Endgame,9.7,Yes
219,Pet Sematary,4.6,No
221,The Perfection,6.0,Yes
222,Bad Times at the El Royale,7.4,Yes
223,Rocketman ,9.3,Yes
225,Gone Baby Gone,8.0,Yes
229,Ad Astra,6.8,Yes
230,Joker,9.6,Yes
231,El Camino,6.1,Yes
232,Midsommar,3.2,No
233,The King,7.7,Yes
234,Midnight Family,6.1,Yes
243,The Hunt,3.5,No
244,The Invisible Man,8.1,Yes
245,The Platform,7.4,Yes
247,Edward Scissorhands,5.8,No
248,The Gentlemen,7.8,Yes
249,Kung Fu Hustle,8.9,Yes
251,Starship Troopers,9.4,Yes
252,Signs,6.6,Yes
253,21 Jump Street,8.0,Yes
254,Extraction,6.1,Yes
256,A Bronx Tale,8.6,Yes
257,Jumanji,9.7,Yes
258,Jumanji: Welcome to the Jungle,5.9,Yes
259,Jumanji: Next Level,3.0,No
260,Ready or Not,4.4,No
261,Crawl,7.5,Yes
264,Eurovision Song Contest: The Story of Fire Saga,5.3,Yes
265,The Old Guard,6.0,Yes
267,Booksmart,8.1,Yes
270,Project Power,3.9,No
271,An American Pickle,3.2,No
272,The Social Dilemma,9.6,Yes
273,Doctor Sleep,9.1,Yes
274,Black Box,6.2,Yes
276,Borat Subsequent Moviefilm,9.3,Yes
283,Prospect,8.8,Yes
284,Jingle Jangle,8.1,Yes
287,Mank,7.2,Yes
288,The King of Staten Island,7.1,Yes
289,Tenet,7.6,Yes
291,The Little Things,5.8,No
293,Good Time,7.7,Yes
294,Boss Level,7.7,Yes
0,Scary Stories to Tell in the Dark,6.2,Yes
1,Palm Springs,8.9,Yes
3,Uncut Gems,8.2,Yes
4,Birds of Prey,7.3,Yes
5,The Babysitter: Killer Queen,2.8,No
6,The Way Back,6.3,Yes
8,The Outpost,8.1,Yes
9,Nocturne,3.1,No
10,Evil Eye,2.6,No
12,The Dead Don't Die,4.3,No
13,The Christmas Chronicles 2,6.1,Yes
14,On the Rocks,5.3,No
15,Wonder Woman: 1984,3.3,No
17,Run,8.2,Yes
18,Sputnik,6.7,Yes
0,Beverly Hills Ninja,8.6,Yes
1,The Girl Next Door,7.3,No
2,Talladega Nights: The Ballad of Ricky Bobby,8.9,Yes
3,Air Force One,,
4,Pineapple Express,9.7,Yes
5,Road Trip,7.0,Yes
6,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,3.1,Yes
